OrderID,OrderDate,CustomerName,Product,Category,Region,Quantity,UnitPrice,Sales
ORD-10001,2024-05-05,Avery Chen,Monitor,Electronics,West,3,238.12,714.36
ORD-10002,2024-02-14,Rowan Pierce,Monitor,Electronics,South,5,254.41,1272.05
ORD-10003,2024-04-29,Emerson Walsh,Laptop,Electronics,East,2,857.67,1715.34
ORD-10004,2024-08-02,Avery Chen,Notebook Pack,Office Supplies,South,5,12.6,63.0
ORD-10005,2024-03-22,Quinn Harper,Desk Lamp,Office Supplies,North,1,34.21,34.21
ORD-10006,2024-02-22,Sam Patel,Headphones,Accessories,South,3,77.23,231.69
ORD-10007,2024-11-05,Jamie Torres,Monitor,Electronics,East,3,246.46,739.38
ORD-10008,2024-02-10,Finley Grant,Printer,Office Supplies,North,4,130.46,521.84
ORD-10009,2024-10-22,Riley Quinn,Desk Lamp,Office Supplies,East,3,36.34,109.02
ORD-10010,2024-02-10,Avery Chen,Laptop,Electronics,East,3,914.5,2743.5
ORD-10011,2024-03-24,Parker Kim,Chair,Furniture,North,3,146.66,439.98
ORD-10012,2024-11-07,Morgan Ellis,Mouse,Accessories,West,1,25.42,25.42
ORD-10013,2024-11-23,Finley Grant,Keyboard,Accessories,West,3,49.8,149.4
ORD-10014,2024-04-27,Jordan Lee,Desk,Furniture,North,1,206.85,206.85
ORD-10015,2024-10-17,Drew Santos,Chair,Furniture,West,2,146.51,293.02
ORD-10016,2024-03-14,Jamie Torres,Printer,Office Supplies,West,4,128.63,514.52
ORD-10017,2024-05-14,Rowan Pierce,Mouse,Accessories,South,5,25.6,128.0
ORD-10018,2024-03-11,Emerson Walsh,Desk Lamp,Office Supplies,South,2,34.64,69.28
ORD-10019,2024-03-19,Morgan Ellis,Monitor,Electronics,South,1,256.38,256.38
ORD-10020,2024-11-01,Skyler Adams,Desk Lamp,Office Supplies,North,4,33.46,133.84
ORD-10021,2024-12-14,Taylor Brooks,Notebook Pack,Office Supplies,North,1,13.46,13.46
ORD-10022,2024-03-21,Skyler Adams,Desk,Furniture,East,4,192.22,768.88
ORD-10023,2024-09-16,Taylor Brooks,Headphones,Accessories,North,2,83.76,167.52
ORD-10024,2024-07-10,Morgan Ellis,Notebook Pack,Office Supplies,East,2,13.13,26.26
ORD-10025,2024-02-27,Parker Kim,Desk Lamp,Office Supplies,North,1,34.37,34.37
ORD-10026,2024-02-10,Sam Patel,Mouse,Accessories,South,5,23.89,119.45
ORD-10027,2024-03-05,Casey Nguyen,Monitor,Electronics,South,5,261.94,1309.7
ORD-10028,2024-11-06,Quinn Harper,Notebook Pack,Office Supplies,West,5,12.55,62.75
ORD-10029,2024-06-08,Reese Morgan,Notebook Pack,Office Supplies,North,2,13.32,26.64
ORD-10030,2024-03-02,Avery Chen,Printer,Office Supplies,West,4,135.18,540.72
ORD-10031,2024-10-10,Avery Chen,Monitor,Electronics,West,5,245.94,1229.7
ORD-10032,2024-04-27,Sam Patel,Laptop,Electronics,East,1,861.38,861.38
ORD-10033,2024-05-22,Hayden Cole,Desk,Furniture,West,2,191.41,382.82
ORD-10034,2024-10-22,Hayden Cole,Notebook Pack,Office Supplies,West,5,12.51,62.55
ORD-10035,2024-02-18,Taylor Brooks,Printer,Office Supplies,South,2,133.99,267.98
ORD-10036,2024-01-28,Taylor Brooks,Desk,Furniture,East,4,198.46,793.84
ORD-10037,2024-05-07,Riley Quinn,Chair,Furniture,West,1,153.41,153.41
ORD-10038,2024-04-03,Jamie Torres,Notebook Pack,Office Supplies,South,4,12.92,51.68
ORD-10039,2024-08-14,Finley Grant,Mouse,Accessories,East,1,25.93,25.93
ORD-10040,2024-01-08,Sam Patel,Laptop,Electronics,West,5,913.68,4568.4
ORD-10041,2024-04-19,Reese Morgan,Keyboard,Accessories,East,4,49.52,198.08
ORD-10042,2024-05-15,Skyler Adams,Keyboard,Accessories,North,4,49.38,197.52
ORD-10043,2024-12-04,Hayden Cole,Chair,Furniture,West,5,152.94,764.7
ORD-10044,2024-10-23,Finley Grant,Mouse,Accessories,East,1,24.48,24.48
ORD-10045,2024-09-01,Emerson Walsh,Desk,Furniture,West,5,191.13,955.65
ORD-10046,2024-04-05,Sam Patel,Laptop,Electronics,East,1,941.46,941.46
ORD-10047,2024-05-06,Rowan Pierce,Mouse,Accessories,East,5,24.75,123.75
ORD-10048,2024-10-16,Emerson Walsh,Desk Lamp,Office Supplies,North,5,33.53,167.65
ORD-10049,2024-05-02,Jamie Torres,Headphones,Accessories,South,3,77.62,232.86
ORD-10050,2024-08-22,Drew Santos,Keyboard,Accessories,East,3,50.85,152.55
ORD-10051,2024-02-21,Sam Patel,Laptop,Electronics,West,5,896.24,4481.2
ORD-10052,2024-02-05,Avery Chen,Notebook Pack,Office Supplies,North,3,12.68,38.04
ORD-10053,2024-12-26,Cameron Blake,Headphones,Accessories,East,5,77.25,386.25
ORD-10054,2024-03-09,Jamie Torres,Notebook Pack,Office Supplies,East,1,12.73,12.73
ORD-10055,2024-05-19,Cameron Blake,Monitor,Electronics,West,2,256.05,512.1
ORD-10056,2024-09-15,Hayden Cole,Desk,Furniture,North,3,194.06,582.18
ORD-10057,2024-05-21,Jordan Lee,Laptop,Electronics,East,4,863.3,3453.2
ORD-10058,2024-03-23,Skyler Adams,Desk,Furniture,South,3,205.41,616.23
ORD-10059,2024-12-19,Casey Nguyen,Notebook Pack,Office Supplies,East,1,12.35,12.35
ORD-10060,2024-08-08,Casey Nguyen,Desk,Furniture,East,2,201.64,403.28
ORD-10061,2024-07-02,Riley Quinn,Headphones,Accessories,West,1,78.91,78.91
ORD-10062,2024-07-27,Blake Foster,Monitor,Electronics,West,5,246.33,1231.65
ORD-10063,2024-07-30,Alex Rivera,Mouse,Accessories,West,2,25.9,51.8
ORD-10064,2024-12-08,Avery Chen,Desk,Furniture,North,4,205.64,822.56
ORD-10065,2024-07-14,Jordan Lee,Keyboard,Accessories,South,1,51.43,51.43
ORD-10066,2024-06-28,Cameron Blake,Mouse,Accessories,West,4,24.24,96.96
ORD-10067,2024-07-23,Drew Santos,Mouse,Accessories,North,2,23.8,47.6
ORD-10068,2024-06-28,Emerson Walsh,Monitor,Electronics,South,3,261.66,784.98
ORD-10069,2024-02-29,Jamie Torres,Notebook Pack,Office Supplies,West,1,12.77,12.77
ORD-10070,2024-01-20,Taylor Brooks,Desk Lamp,Office Supplies,South,3,36.61,109.83
ORD-10071,2024-08-11,Blake Foster,Desk,Furniture,East,3,204.56,613.68
ORD-10072,2024-05-10,Jordan Lee,Chair,Furniture,South,2,155.98,311.96
ORD-10073,2024-12-17,Riley Quinn,Laptop,Electronics,North,5,901.78,4508.9
ORD-10074,2024-11-15,Drew Santos,Chair,Furniture,East,3,143.54,430.62
ORD-10075,2024-06-16,Reese Morgan,Headphones,Accessories,North,4,80.05,320.2
ORD-10076,2024-12-06,Reese Morgan,Notebook Pack,Office Supplies,West,4,12.51,50.04
ORD-10077,2024-10-07,Alex Rivera,Desk Lamp,Office Supplies,North,4,35.23,140.92
ORD-10078,2024-11-06,Drew Santos,Headphones,Accessories,South,5,77.67,388.35
ORD-10079,2024-09-18,Hayden Cole,Printer,Office Supplies,West,2,129.24,258.48
ORD-10080,2024-06-20,Sam Patel,Monitor,Electronics,West,5,244.58,1222.9
ORD-10081,2024-03-16,Alex Rivera,Headphones,Accessories,East,2,77.79,155.58
ORD-10082,2024-02-07,Skyler Adams,Mouse,Accessories,South,5,26.2,131.0
ORD-10083,2024-09-10,Reese Morgan,Desk Lamp,Office Supplies,West,4,33.92,135.68
ORD-10084,2024-02-24,Quinn Harper,Keyboard,Accessories,West,1,50.77,50.77
ORD-10085,2024-08-25,Jordan Lee,Keyboard,Accessories,West,5,51.51,257.55
ORD-10086,2024-12-07,Emerson Walsh,Monitor,Electronics,North,4,248.9,995.6
ORD-10087,2024-08-06,Finley Grant,Printer,Office Supplies,South,5,131.45,657.25
ORD-10088,2024-08-18,Jamie Torres,Keyboard,Accessories,West,4,51.21,204.84
ORD-10089,2024-09-05,Avery Chen,Headphones,Accessories,North,5,82.12,410.6
ORD-10090,2024-04-30,Jamie Torres,Printer,Office Supplies,North,3,124.5,373.5
ORD-10091,2024-03-11,Casey Nguyen,Desk,Furniture,West,1,207.85,207.85
ORD-10092,2024-02-02,Quinn Harper,Chair,Furniture,South,2,152.9,305.8
ORD-10093,2024-02-01,Riley Quinn,Desk,Furniture,South,4,200.84,803.36
ORD-10094,2024-12-22,Alex Rivera,Chair,Furniture,South,5,156.06,780.3
ORD-10095,2024-06-01,Reese Morgan,Printer,Office Supplies,South,3,123.57,370.71
ORD-10096,2024-11-04,Avery Chen,Notebook Pack,Office Supplies,South,5,13.31,66.55
ORD-10097,2024-01-15,Reese Morgan,Mouse,Accessories,North,4,24.42,97.68
ORD-10098,2024-03-06,Blake Foster,Chair,Furniture,East,4,153.35,613.4
ORD-10099,2024-02-12,Quinn Harper,Chair,Furniture,West,1,151.37,151.37
ORD-10100,2024-07-13,Drew Santos,Printer,Office Supplies,West,3,125.85,377.55
ORD-10101,2024-05-22,Quinn Harper,Printer,Office Supplies,North,4,127.74,510.96
ORD-10102,2024-01-27,Parker Kim,Monitor,Electronics,West,5,249.25,1246.25
ORD-10103,2024-01-16,Avery Chen,Monitor,Electronics,West,1,257.02,257.02
ORD-10104,2024-03-05,Hayden Cole,Laptop,Electronics,East,2,910.91,1821.82
ORD-10105,2024-12-24,Jamie Torres,Desk Lamp,Office Supplies,North,4,36.56,146.24
ORD-10106,2024-03-24,Cameron Blake,Keyboard,Accessories,East,1,50.52,50.52
ORD-10107,2024-10-21,Reese Morgan,Desk Lamp,Office Supplies,South,3,33.33,99.99
ORD-10108,2024-02-22,Cameron Blake,Mouse,Accessories,East,2,23.93,47.86
ORD-10109,2024-09-29,Quinn Harper,Desk Lamp,Office Supplies,North,3,35.98,107.94
ORD-10110,2024-01-07,Quinn Harper,Monitor,Electronics,South,3,250.14,750.42
ORD-10111,2024-11-21,Skyler Adams,Monitor,Electronics,West,3,248.33,744.99
ORD-10112,2024-11-29,Jamie Torres,Chair,Furniture,South,5,145.13,725.65
ORD-10113,2024-05-17,Drew Santos,Printer,Office Supplies,West,5,129.15,645.75
ORD-10114,2024-05-04,Skyler Adams,Monitor,Electronics,South,4,244.46,977.84
ORD-10115,2024-04-03,Hayden Cole,Desk,Furniture,West,3,190.56,571.68
ORD-10116,2024-05-23,Blake Foster,Desk,Furniture,North,3,205.95,617.85
ORD-10117,2024-02-13,Avery Chen,Notebook Pack,Office Supplies,South,2,12.35,24.7
ORD-10118,2024-12-19,Hayden Cole,Printer,Office Supplies,South,2,130.71,261.42
ORD-10119,2024-05-30,Avery Chen,Printer,Office Supplies,South,1,133.8,133.8
ORD-10120,2024-07-07,Hayden Cole,Mouse,Accessories,North,5,24.51,122.55
ORD-10121,2024-06-18,Parker Kim,Chair,Furniture,South,5,157.44,787.2
ORD-10122,2024-03-02,Riley Quinn,Headphones,Accessories,North,2,78.44,156.88
ORD-10123,2024-04-08,Riley Quinn,Monitor,Electronics,South,2,256.06,512.12
ORD-10124,2024-11-01,Cameron Blake,Headphones,Accessories,East,5,81.79,408.95
ORD-10125,2024-04-01,Cameron Blake,Mouse,Accessories,East,3,24.48,73.44
ORD-10126,2024-01-28,Finley Grant,Notebook Pack,Office Supplies,North,1,12.5,12.5
ORD-10127,2024-02-22,Alex Rivera,Keyboard,Accessories,North,4,50.68,202.72
ORD-10128,2024-04-04,Jordan Lee,Printer,Office Supplies,North,3,129.71,389.13
ORD-10129,2024-07-24,Hayden Cole,Printer,Office Supplies,East,1,124.97,124.97
ORD-10130,2024-03-18,Casey Nguyen,Desk Lamp,Office Supplies,North,1,35.44,35.44
ORD-10131,2024-10-12,Quinn Harper,Monitor,Electronics,West,1,262.34,262.34
ORD-10132,2024-06-01,Rowan Pierce,Notebook Pack,Office Supplies,South,4,12.83,51.32
ORD-10133,2024-11-08,Taylor Brooks,Headphones,Accessories,West,1,80.54,80.54
ORD-10134,2024-03-21,Avery Chen,Mouse,Accessories,West,1,24.4,24.4
ORD-10135,2024-07-28,Skyler Adams,Notebook Pack,Office Supplies,South,1,12.44,12.44
ORD-10136,2024-12-27,Cameron Blake,Headphones,Accessories,South,3,76.25,228.75
ORD-10137,2024-11-16,Rowan Pierce,Monitor,Electronics,West,3,254.67,764.01
ORD-10138,2024-11-27,Casey Nguyen,Chair,Furniture,North,2,144.21,288.42
ORD-10139,2024-06-06,Blake Foster,Keyboard,Accessories,North,2,47.85,95.7
ORD-10140,2024-12-24,Reese Morgan,Printer,Office Supplies,North,3,125.11,375.33
